Index,Original_中轴承温度,Original_A相线温度,Original_电机前轴承温度,Original_垂直振动,Original_水平振动,Original_出口烟气温度,Reconstructed_中轴承温度,Reconstructed_A相线温度,Reconstructed_电机前轴承温度,Reconstructed_垂直振动,Reconstructed_水平振动,Reconstructed_出口烟气温度,Error_中轴承温度,Error_A相线温度,Error_电机前轴承温度,Error_垂直振动,Error_水平振动,Error_出口烟气温度,Threshold_中轴承温度,Threshold_A相线温度,Threshold_电机前轴承温度,Threshold_垂直振动,Threshold_水平振动,Threshold_出口烟气温度,Warning_中轴承温度,Warning_A相线温度,Warning_电机前轴承温度,Warning_垂直振动,Warning_水平振动,Warning_出口烟气温度
37,66.57374,71.11903,66.62594,0.32356495,0.2991454,151.157,66.189,71.9433,67.1018,0.32371822,0.29897,150.88083,0.384737009,0.82426834,0.475859011,0.00015327,0.000175386,0.276171143,0.814153288,4.046137378,0.828899532,0.004867591,0.003159441,0.84819461,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,66.57374,71.11903,66.62594,0.33577502,0.2869353,151.1312,66.2398,71.5253,67.141365,0.33615124,0.287202,150.96718,0.3339405,0.406269072,0.515425051,0.000376222,0.000266701,0.164021655,0.843526796,4.469206571,0.887020687,0.004790988,0.003169624,0.839682853,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,66.57374,71.14518,66.62594,0.32356495,0.2991454,151.18124,66.18934,71.95607,67.10327,0.32372233,0.29898265,150.9052,0.384401316,0.810889946,0.477331484,0.000157383,0.00016275,0.276042856,0.840544428,4.533216639,0.898484735,0.004816732,0.003182814,0.835356187,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,66.57374,71.1713,66.62594,0.34798512,0.31135547,151.15544,66.14717,72.58987,66.99381,0.3483698,0.3118995,150.96243,0.426568979,1.418566638,0.367872561,0.000384687,0.000544043,0.193007139,0.828735041,4.344519009,0.868596754,0.004822782,0.003144951,0.786492895,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,66.57374,71.1713,66.62594,0.3601952,0.32356495,151.15544,66.13106,73.01789,66.94026,0.3600423,0.32410368,150.87288,0.442682261,1.84659093,0.314321841,0.000152896,0.000538733,0.282560972,0.82852077,4.401834334,0.870622629,0.004454396,0.003147788,0.786713777,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,66.57374,71.19745,66.62594,0.39682543,0.31135547,151.20547,66.05928,72.89233,66.97518,0.3950901,0.31221795,150.8792,0.514459604,1.694876355,0.34924158,0.001735327,0.000862481,0.326273833,0.772580426,4.454649312,0.871168876,0.004602676,0.003167529,0.807939186,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,66.57374,71.2236,66.62594,0.33577502,0.2991454,151.1797,66.20713,72.07229,67.107,0.33602673,0.29927048,150.92932,0.366609568,0.848688513,0.481062258,0.000251708,0.000125081,0.250378711,0.785631533,4.542320802,0.901288289,0.004616062,0.003181263,0.803919901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,66.57374,71.2236,66.62594,0.34798512,0.2991454,151.25554,66.21849,72.15005,67.06317,0.34843248,0.29972374,151.11996,0.355249399,0.926447302,0.437231387,0.000447361,0.000578344,0.1355754,0.799741972,4.588945098,0.910508154,0.004611546,0.00314844,0.820611427,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,66.57374,71.24975,66.62594,0.33577502,0.2991454,151.1797,66.20996,72.08064,67.10982,0.33603075,0.29928115,150.93335,0.363779063,0.8308927,0.483877505,0.000255731,0.00013575,0.246350391,0.806797749,4.016710814,0.819594411,0.00462902,0.00236576,0.720575706,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,66.57374,71.27587,66.62594,0.38461536,0.2869353,151.22974,65.986595,72.509254,67.037186,0.38309583,0.2871513,151.03345,0.587144846,1.233384456,0.411245669,0.001519529,0.000216007,0.196292734,0.890095942,3.985949806,0.813995372,0.004887639,0.002338864,0.714807454,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,66.57374,71.27587,66.62594,0.33577502,0.32356495,151.22974,66.07774,73.01583,66.89556,0.3362601,0.32450458,150.84816,0.49599647,1.739960994,0.269621218,0.00048509,0.000939634,0.38158021,0.903750491,4.097938272,0.856042994,0.004879184,0.00249098,0.767531971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,66.57374,71.30202,66.62594,0.32356495,0.31135547,151.22974,66.12584,72.440155,67.00085,0.32401204,0.31142735,151.08543,0.447900767,1.138135029,0.374906863,0.000447091,7.19E-05,0.14430604,0.904212066,3.972463299,0.853266739,0.004412105,0.002563485,0.779193348,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,66.57374,71.30202,66.62594,0.38461536,0.31135547,151.27977,66.04016,72.89082,66.973915,0.38309702,0.3122649,150.89307,0.533578867,1.588803364,0.3479751,0.001518337,0.000909419,0.386703594,0.902794529,3.931334189,0.851319655,0.004389782,0.002645523,0.763737013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,66.57374,71.32817,66.62594,0.32356495,0.2869353,151.25397,66.23654,71.480835,67.15279,0.3242161,0.2873287,151.04214,0.337198252,0.152664961,0.526846255,0.000651148,0.00039339,0.211825225,0.920631414,4.330486361,0.897524193,0.004391264,0.002623819,0.761015075,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,66.57374,71.354294,66.62594,0.37240526,0.2991454,151.25397,66.11353,72.535484,67.02561,0.37171847,0.30016497,151.02196,0.46020698,1.181190314,0.399671877,0.000686794,0.001019568,0.232012603,0.919783672,4.32517982,0.889445642,0.004391304,0.002809711,0.754792058,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,66.57374,71.354294,66.62594,0.3601952,0.31135547,151.2282,66.18211,72.61969,66.986305,0.36045367,0.31234798,151.07799,0.391626353,1.265395941,0.360365237,0.000258465,0.000992508,0.150212329,0.920036186,4.305502355,0.890962102,0.004408213,0.002923873,0.766464573,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,66.57374,71.38045,66.652054,0.32356495,0.2991454,151.30403,66.21127,72.07784,67.13432,0.32374993,0.29906946,151.03413,0.362466807,0.697392712,0.48226912,0.00018498,7.59E-05,0.269896089,0.927241529,4.370931844,0.909791684,0.004410127,0.002880275,0.764407302,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,66.57374,71.38045,66.652054,0.32356495,0.32356495,151.30403,66.072296,72.9017,66.90461,0.3242848,0.3247164,150.91037,0.501443857,1.521252881,0.25255568,0.000719842,0.001151439,0.393660127,0.940189426,4.412028865,0.955636411,0.004414922,0.003094992,0.817720006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,66.57374,71.40659,66.652054,0.33577502,0.2869353,151.35408,66.279465,71.677376,67.17162,0.3362097,0.2873157,151.22667,0.294275278,0.270785793,0.51956923,0.000434694,0.000380396,0.127410688,0.976137884,4.600653056,0.987385379,0.004377292,0.003046678,0.837480134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,66.57374,71.40659,66.652054,0.34798512,0.2869353,151.32828,66.309044,71.89797,67.16528,0.34800667,0.28738862,151.24454,0.264696116,0.491382107,0.513229203,2.15E-05,0.000453323,0.083742646,0.99339353,4.4919134,1.005923846,0.003925029,0.002978124,0.856458739,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,66.57374,71.43274,66.652054,0.33577502,0.31135547,151.32828,66.154335,72.6484,67.02514,0.33618695,0.3117451,151.14763,0.419404978,1.215659353,0.373084855,0.000411925,0.000389637,0.180651216,0.99344706,4.501758927,0.99683089,0.003886734,0.00294028,0.85383649,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,66.57374,71.43274,66.652054,0.34798512,0.2991454,151.37833,66.246254,72.26483,67.08617,0.3484653,0.2998467,151.27306,0.327486033,0.832091543,0.434112382,0.000480174,0.000701309,0.10527397,0.995440325,4.379003752,0.970073992,0.00388182,0.002945314,0.873049105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,66.57374,71.45887,66.652054,0.33577502,0.2991454,151.30249,66.239944,72.197495,67.13434,0.33606914,0.2994148,151.08427,0.333795542,0.738624507,0.482284379,0.000294117,0.000269414,0.218215708,1.004432974,4.392278886,0.971882859,0.003853698,0.002915174,0.865680349,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,66.57374,71.45887,66.652054,0.31135547,0.2991454,151.35254,66.20308,71.80434,67.15003,0.31130838,0.29874843,151.05232,0.370660776,0.345466548,0.497978043,4.71E-05,0.000396966,0.300217612,1.004298295,4.475804959,0.9901731,0.003923686,0.002917579,0.878592726,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,66.57374,71.45887,66.652054,0.2991454,0.27472523,151.35254,66.285805,70.73109,67.20921,0.29948354,0.27569583,151.47649,0.287935251,0.727783269,0.557159257,0.000338138,0.000970601,0.123946206,1.021591224,4.17844543,1.017021083,0.003890217,0.003033977,0.885161045,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,66.57374,71.45887,66.652054,0.33577502,0.2991454,151.32675,66.239174,72.20283,67.132286,0.33607188,0.2994248,151.10951,0.334566111,0.743957454,0.480232072,0.000296859,0.000279397,0.217237671,0.991808606,3.923134602,1.014468965,0.003235445,0.002984858,0.85825412,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,66.57374,71.45887,66.652054,0.31135547,0.31135547,151.40259,66.13059,72.2451,67.027725,0.31151456,0.31143317,151.20575,0.443147654,0.786231929,0.37567122,0.000159086,7.77E-05,0.196840488,0.999185291,3.925498992,1.010679003,0.003254292,0.003002609,0.854076333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,66.57374,71.45887,66.652054,0.31135547,0.2869353,151.40259,66.22589,71.36989,67.170074,0.31183064,0.28711572,151.21216,0.347848887,0.088981694,0.518020463,0.00047517,0.000180423,0.190431797,1.000159278,4.145879735,1.030683939,0.003255123,0.003034586,0.845239207,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,66.57374,71.45887,66.652054,0.33577502,0.2869353,151.42839,66.28543,71.70702,67.17428,0.3362217,0.2873413,151.30614,0.288309092,0.248153621,0.522224259,0.000446675,0.000405997,0.122252915,1.017033406,4.258791339,1.043577889,0.003240817,0.002984351,0.853908511,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,66.57374,71.485016,66.67816,0.33577502,0.2869353,151.42839,66.29715,71.73891,67.18678,0.33621842,0.28735158,151.30708,0.276590342,0.25389086,0.508622837,0.000443397,0.000416278,0.12130687,0.938584613,4.268397315,1.057400086,0.002625754,0.002952958,0.86486521,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
