中轴承温度,A相线温度,电机前轴承温度,垂直振动,水平振动,出口烟气温度,timestamp
59.897743,55.393867,61.383026,0.2869353,0.26251513,136.24184,2023-05-26 17:51:00
59.897743,55.393867,61.383026,0.2869353,0.27472523,136.16667,2023-05-26 17:51:00
59.897743,55.393867,61.383026,0.2869353,0.25030506,136.21623,2023-05-26 17:51:00
59.897743,55.41989,61.383026,0.27472522999999993,0.27472523,136.14108,2023-05-26 17:51:00
59.897743,55.41989,61.383026,0.2991454,0.27472523,136.21623,2023-05-26 17:51:00
59.897743,55.41989,61.383026,0.2991454,0.26251513,136.21623,2023-05-26 17:51:00
59.897743,55.41989,61.383026,0.31135547,0.27472523,136.21623,2023-05-26 17:52:00
59.897743,55.41989,61.383026,0.2991454,0.26251513,136.11551,2023-05-26 17:52:00
59.897743,55.41989,61.383026,0.2869353,0.26251513,136.21623,2023-05-26 17:52:00
59.897743,55.41989,61.383026,0.2991454,0.26251513,136.21623,2023-05-26 17:52:00
59.897743,55.41989,61.383026,0.2991454,0.27472523,136.21623,2023-05-26 17:52:00
59.897743,55.393867,61.383026,0.2869353,0.27472523,136.21623,2023-05-26 17:52:00
59.897743,55.393867,61.383026,0.2869353,0.27472523,136.24184,2023-05-26 17:53:00
59.871704,55.393867,61.383026,0.2869353,0.26251513,136.21623,2023-05-26 17:53:00
59.871704,55.393867,61.383026,0.2869353,0.27472523,136.21623,2023-05-26 17:53:00
59.871704,55.393867,61.383026,0.2991454,0.27472523,136.21623,2023-05-26 17:53:00
59.871704,55.393867,61.383026,0.2869353,0.26251513,136.21623,2023-05-26 17:53:00
59.871704,55.393867,61.383026,0.2869353,0.26251513,136.19066,2023-05-26 17:53:00
59.871704,55.393867,61.383026,0.31135547,0.2869353,136.19066,2023-05-26 17:54:00
59.871704,55.393867,61.383026,0.2991454,0.26251513,136.19066,2023-05-26 17:54:00
59.871704,55.393867,61.383026,0.2991454,0.27472523,136.19066,2023-05-26 17:54:00
59.871704,55.393867,61.383026,0.2869353,0.26251513,136.19066,2023-05-26 17:54:00
59.871704,55.393867,61.383026,0.2991454,0.27472523,136.19066,2023-05-26 17:54:00
59.871704,55.393867,61.383026,0.2991454,0.27472523,136.21623,2023-05-26 17:54:00
59.871704,55.367847,61.383026,0.31135547,0.2869353,136.26743,2023-05-26 17:55:00
59.871704,55.367847,61.383026,0.2869353,0.26251513,136.36818,2023-05-26 17:55:00
59.871704,55.367847,61.383026,0.2991454,0.26251513,136.3186,2023-05-26 17:55:00
59.871704,55.367847,61.383026,0.31135547,0.25030505999999997,136.44498,2023-05-26 17:55:00
59.871704,55.367847,61.383026,0.2869353,0.26251513,136.39539,2023-05-26 17:55:00
59.871704,55.367847,61.383026,0.31135547,0.26251513,136.42099,2023-05-26 17:55:00
59.871704,55.367847,61.383026,0.2869353,0.26251513,136.47218,2023-05-26 17:56:00
59.871704,55.367847,61.383026,0.2869353,0.26251513,136.52339,2023-05-26 17:56:00
59.871704,55.367847,61.383026,0.2991454,0.26251513,136.549,2023-05-26 17:56:00
59.871704,55.341824,61.383026,0.2869353,0.27472523,136.6002,2023-05-26 17:56:00
59.871704,55.341824,61.383026,0.2991454,0.26251513,136.62582,2023-05-26 17:56:00
59.871704,55.341824,61.383026,0.31135547,0.27472523,136.65141,2023-05-26 17:56:00
59.871704,55.341824,61.383026,0.2991454,0.27472523,136.65141,2023-05-26 17:57:00
59.871704,55.341824,61.383026,0.2991454,0.27472523,136.62582,2023-05-26 17:57:00
59.871704,55.341824,61.383026,0.2869353,0.27472523,136.62582,2023-05-26 17:57:00
59.871704,55.315823,61.383026,0.2991454,0.2869353,136.6002,2023-05-26 17:57:00
